question_id,result
0,B
1,Answer: B
2,C
3,B 
4,B
5,Answer: A
6,A
7,D
8,B
9,C
10,C 
11,C
12,A
13,D
14,C
15,Answer: B
16,C
17,C
18,B
19,A
20,A 
21,D 
22,A
23,"abelian group, so the answer is D"
24,B
25,Answer: A
26,C
27,C
28,A
29,D
30,D
31,B
32,A
33,C
34,A
35,D
36,D 
37,B
38,B
39,D
40,A
41,D
42,Answer: B
43,B
44,C
45,C
46,Answer: B
47,Answer: B
48,
49,D
50,D
51,B
52,D 
53,D
54,C 
55,C
56,B
57,B
58,A
59,Answer: A
60,D
61,C
62,C
63,"reflexive, so the answer is C"
64,B
65,Answer: B
66,D
67,Answer: C
68,C
69,Answer: A
70,C
71,Answer: C
72,D
73,D
74,A
75,B
76,Answer: C
77,
78,C
79,Not Sure
80,B
81,D
82,A
83,C
84,D
85,C
86,A
87,A 
88,A
89,C
90,Answer: D
91,B
92,B
93,B
94,D 
95,D
96,B
97,Answer: C
98,C 
99,C
100,A
101,D
102,A
103,C
104,B
105,Answer: A
106,D
107,B
108,
109,D 
110,D
111,Answer: A
112,D
113,B
114,Answer: C
115,B
116,"External and internal intercostal muscles, so the answer is A"
117,B
118,D
119,C
120,Answer: C
121,Answer: A
122,A
123,D
124,D
125,D
126,Answer: C
127,D
128,A
129,A
130,C 
131,A
132,C
133,B
134,C
135,"connects the inner ear and nasopharynx., so the answer is A"
136,Answer: A
137,Answer: B
138,
139,C
140,None of the above
141,A
142,C
143,C
144,A
145,Answer: C
146,D
147,Answer: B
148,Answer: A
149,C
150,D 
151,D 
152,B
153,A
154,A
155,D
156,A
157,Answer: C
158,D 
159,Answer: C
160,D
161,C
162,B
163,C
164,A
165,C
166,C
167,C 
168,Answer: B
169,D
170,B
171,Answer: D
172,D
173,Answer: A
174,
175,C
176,A
177,Answer: D
178,C
179,D
180,D 
181,B
182,C
183,"Epiglottis, so the answer is B"
184,B
185,C
186,Answer: C
187,Answer: B
188,Answer: C
189,D
190,D
191,B
192,B
193,D
194,A
195,C
196,A
197,Answer: C
198,B 
199,D
200,D
201,D
202,Answer: C
203,A
204,A
205,Answer: B
206,C
207,D
208,Answer: D
209,A
210,C
211,C
212,Answer: D
213,Answer: D
214,A
215,B
216,D 
217,Answer: B
218,B
219,A
220,C
221,D
222,Answer: C
223,A
224,C
225,"Pupillary constriction and vasodilation of facial vessels, so the answer is B"
226,Answer: C
227,C
228,"Starches, so the answer is A"
229,C
230,C
231,D
232,A
233,
234,Answer: D
235,A
236,D
237,B 
238,Answer: A
239,B
240,None of the above
241,Answer: B
242,B
243,D
244,B 
245,D
246,"By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day., so the answer is C"
247,A
248,C
249,
250,
251,D
252,Answer: C
253,D
254,C
255,B
256,C 
257,D
258,D
259,C
260,D
261,B
262,B 
263,D
264,C
265,B
266,D
267,"A B and C, so the answer is D"
268,Answer: D
269,B
270,C 
271,D
272,None of the above
273,D
274,D
275,C
276,D 
277,"Jupiter's greater mass compresses it more thus increasing its density., so the answer is A"
278,Answer: A
279,C
280,A
281,D
282,A
283,C 
284,C
285,Answer: A
286,Answer: C
287,C 
288,Answer: A
289,Answer: D
290,B
291,D
292,Answer: D
293,"Higher in the sky, so the answer is C"
294,Answer: D
295,Answer: D
296,B 
297,C
298,"It is too large., so the answer is C"
299,C
300,C
301,Answer: A
302,
303,Answer: A
304,C
305,Not Sure
306,D
307,"Solar eclipses would be much more frequent., so the answer is C"
308,D
309,C
310,C
311,Answer: A
312,A
313,B
314,C
315,C
316,D
317,A
318,Answer: D
319,A
320,Answer: A
321,C
322,Answer: B
323,D
324,D
325,Answer: D
326,A
327,Not Sure
328,D 
329,A
330,C
331,D
332,
333,A
334,C
335,A
336,Answer: D
337,Answer: C
338,Answer: C
339,C
340,A
341,B 
342,"Five kilograms of feathers, so the answer is C"
343,D
344,B
345,B
346,Answer: D
347,B
348,C
349,Answer: A
350,D
351,D
352,B
353,A
354,C
355,B
356,Answer: B
357,Answer: D
358,B
359,D
360,C 
361,A
362,Answer: C
363,C
364,C
365,A
366,A
367,C
368,Answer: B
369,D
370,D
371,A
372,A
373,Answer: D
374,C
375,A
376,Answer: B
377,C 
378,D
379,B
380,D
381,B
382,C
383,D
384,C
385,C
386,Answer: C
387,Answer: C
388,Answer: B
389,A
390,Answer: D
391,Answer: B
392,B
393,Answer: D
394,A 
395,D
396,C
397,C 
398,C
399,D
400,"Skimming, so the answer is D"
401,Answer: D
402,B
403,A
404,C
405,A
406,A
407,Answer: A
408,Answer: B
409,D
410,A
411,A 
412,C
413,B
414,Answer: B
415,C
416,D
417,
418,Answer: D
419,Answer: D
420,A 
421,C
422,C
423,B
424,Answer: D
425,Answer: D
426,Answer: C
427,D 
428,A
429,C
430,Answer: A
431,B
432,"Locus of control, so the answer is D"
433,C
434,B
435,Answer: A
436,B
437,A
438,"Cemptor Eaveat, Company Responsibility, Informal Codes, International, so the answer is D"
439,"Consumer vulnerability, so the answer is D"
440,Answer: C
441,A
442,D
443,C
444,Answer: A
445,Answer: C
446,None of the above
447,D
448,A
449,C
450,A
451,A
452,Answer: C
453,Answer: D
454,Answer: B
455,C
456,D
457,Answer: B
458,B
459,Answer: B
460,C
461,B
462,A
463,Answer: B
464,D
465,B
466,"Stakeholders, Risks, Stakeholder management, Accountability, Transparency, so the answer is A"
467,Answer: B
468,C
469,D
470,D 
471,C
472,C
473,B
474,A
475,Answer: A
476,
477,B
478,A
479,Answer: D
480,Answer: A
481,Answer: B
482,D 
483,C
484,A 
485,Answer: D
486,B
487,Answer: A
488,D
489,Answer: A
490,B
491,A
492,Answer: D
493,B
494,A
495,Answer: A
496,D
497,A
498,D
499,B
500,B
501,B
502,C 
503,Answer: C
504,Answer: A
505,
506,C
507,Answer: A
508,A
509,A
510,Answer: B
511,B
512,C
513,A
514,B
515,C
516,A
517,"Schober's test is designed to quantify the flexion of the lumbar spine, so the answer is B"
518,D
519,D
520,Answer: B
521,Answer: D
522,B
523,Answer: A
524,D
525,B 
526,Answer: D
527,C
528,
529,C
530,D
531,A
532,"innate ability and the capacity to respond to the training stimulus., so the answer is D"
533,Answer: D
534,C 
535,A
536,Answer: D
537,D
538,D
539,C
540,A 
541,D
542,Answer: C
543,"gain in body mass., so the answer is B"
544,C
545,D
546,B
547,Answer: C
548,B
549,Answer: A
550,Answer: A
551,D
552,D
553,Answer: B
554,Answer: D
555,D
556,Answer: D
557,Answer: A
558,Answer: C
559,D
560,C
561,D
562,B
563,Not Sure
564,C
565,B
566,B 
567,Answer: D
568,C
569,C
570,
571,B
572,D
573,A
574,C
575,D 
576,Answer: A
577,"physical, psychological, and pharmacological needs followed by regular reassessment., so the answer is C"
578,Answer: C
579,"Steroids., so the answer is A"
580,C
581,Answer: C
582,Answer: C
583,"500, so the answer is D"
584,Answer: C
585,B
586,B
587,D
588,C 
589,B
590,B
591,D
592,D
593,D
594,"Proprioceptive loss is a common feature, so the answer is B"
595,D
596,C
597,C
598,C
599,D 
600,D
601,A
602,A
603,A 
604,C
605,Answer: C
606,Answer: D
607,B
608,A
609,Answer: C
610,Answer: D
611,A
612,Answer: D
613,B
614,C
615,A
616,B
617,A
618,B
619,Answer: D
620,B
621,C
622,Answer: D
623,A
624,B
625,C
626,B
627,"A 500 ml bottle of Morphine 10 mg in 5 ml in oral suspension., so the answer is D"
628,Answer: C
629,B
630,Answer: A
631,Answer: C
632,D
633,B
634,B
635,B
636,C
637,D
638,A
639,D
640,"Inspect the nail-bed angle from the side, so the answer is D"
641,Answer: B
642,B
643,"An indentible mass is caused by faecal loading of the colon, so the answer is D"
644,Answer: D
645,B 
646,A
647,B
648,D 
649,A
650,D
651,Answer: B
652,D
653,Answer: C
654,B
655,Answer: C
656,A
657,B
658,B
659,A
660,Answer: D
661,C
662,D
663,C 
664,B
665,A
666,C
667,C 
668,A
669,Answer: B
670,C
671,C
672,D 
673,"If patient has an artificial heart valve., so the answer is C"
674,B
675,D
676,Answer: C
677,Answer: C
678,B
679,D
680,Answer: C
681,D
682,A
683,A
684,
685,B
686,Answer: C
687,D
688,A
689,C 
690,Answer: D
691,Answer: A
692,D
693,D
694,B
695,B
696,A
697,A
698,A
699,
700,A
701,B
702,D
703,B
704,C
705,B
706,B
707,D
708,Answer: D
709,Answer: A
710,C
711,Answer: D
712,A
713,D
714,Answer: A
715,A
716,B 
717,Answer: C
718,"Type IIX fibres., so the answer is D"
719,B
720,Answer: B
721,Answer: A
722,Answer: D
723,A
724,C
725,D
726,A
727,C
728,B
729,D
730,C
731,D
732,C
733,A
734,Answer: D
735,Answer: B
736,Answer: A
737,D
738,Answer: C
739,D
740,None of the above
741,D
742,C
743,C
744,Not Sure
745,D
746,A
747,C
748,D
